date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
0,2015-10-07,Vancouver Canucks,Calgary Flames,5,1,
1,2015-10-07,New York Rangers,Chicago Blackhawks,3,2,
2,2015-10-07,San Jose Sharks,Los Angeles Kings,5,1,
3,2015-10-07,Montreal Canadiens,Toronto Maple Leafs,3,1,
4,2015-10-08,Winnipeg Jets,Boston Bruins,6,2,
5,2015-10-08,Ottawa Senators,Buffalo Sabres,3,1,
6,2015-10-08,Minnesota Wild,Colorado Avalanche,5,4,
7,2015-10-08,Pittsburgh Penguins,Dallas Stars,0,3,
8,2015-10-08,Carolina Hurricanes,Nashville Predators,1,2,
9,2015-10-08,Edmonton Oilers,St. Louis Blues,1,3,
10,2015-10-08,Philadelphia Flyers,Tampa Bay Lightning,2,3,OT
11,2015-10-09,New York Rangers,Columbus Blue Jackets,4,2,
12,2015-10-09,Toronto Maple Leafs,Detroit Red Wings,0,4,
13,2015-10-09,Arizona Coyotes,Los Angeles Kings,4,1,
14,2015-10-09,Winnipeg Jets,New Jersey Devils,3,1,
15,2015-10-09,Chicago Blackhawks,New York Islanders,3,2,OT
16,2015-10-10,Pittsburgh Penguins,Arizona Coyotes,1,2,
17,2015-10-10,Montreal Canadiens,Boston Bruins,4,2,
18,2015-10-10,Tampa Bay Lightning,Buffalo Sabres,4,1,
19,2015-10-10,Detroit Red Wings,Carolina Hurricanes,4,3,
20,2015-10-10,New York Islanders,Chicago Blackhawks,1,4,
21,2015-10-10,Dallas Stars,Colorado Avalanche,3,6,
22,2015-10-10,Philadelphia Flyers,Florida Panthers,1,7,
23,2015-10-10,St. Louis Blues,Minnesota Wild,2,3,
24,2015-10-10,Edmonton Oilers,Nashville Predators,0,2,
25,2015-10-10,Columbus Blue Jackets,New York Rangers,2,5,
26,2015-10-10,Anaheim Ducks,San Jose Sharks,0,2,
27,2015-10-10,Ottawa Senators,Toronto Maple Leafs,5,4,SO
28,2015-10-10,Calgary Flames,Vancouver Canucks,3,2,OT
29,2015-10-10,New Jersey Devils,Washington Capitals,3,5,
30,2015-10-11,Montreal Canadiens,Ottawa Senators,3,1,
31,2015-10-12,Vancouver Canucks,Anaheim Ducks,2,1,SO
32,2015-10-12,Tampa Bay Lightning,Boston Bruins,6,3,
33,2015-10-12,Columbus Blue Jackets,Buffalo Sabres,2,4,
34,2015-10-12,Winnipeg Jets,New York Islanders,2,4,
35,2015-10-12,Florida Panthers,Philadelphia Flyers,0,1,
36,2015-10-13,Florida Panthers,Carolina Hurricanes,4,1,
37,2015-10-13,St. Louis Blues,Calgary Flames,4,3,
38,2015-10-13,Edmonton Oilers,Dallas Stars,2,4,
39,2015-10-13,Tampa Bay Lightning,Detroit Red Wings,1,3,
40,2015-10-13,Vancouver Canucks,Los Angeles Kings,3,0,
41,2015-10-13,Nashville Predators,New Jersey Devils,3,1,
42,2015-10-13,Winnipeg Jets,New York Rangers,4,1,
43,2015-10-13,Montreal Canadiens,Pittsburgh Penguins,3,2,
44,2015-10-13,San Jose Sharks,Washington Capitals,5,0,
45,2015-10-14,Arizona Coyotes,Anaheim Ducks,4,0,
46,2015-10-14,Ottawa Senators,Columbus Blue Jackets,7,3,
47,2015-10-14,Boston Bruins,Colorado Avalanche,6,2,
48,2015-10-14,Chicago Blackhawks,Philadelphia Flyers,0,3,
49,2015-10-15,Minnesota Wild,Arizona Coyotes,4,3,
50,2015-10-15,St. Louis Blues,Edmonton Oilers,4,2,
51,2015-10-15,Buffalo Sabres,Florida Panthers,2,3,
