date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
0,2016-10-12,St. Louis Blues,Chicago Blackhawks,5,2,
1,2016-10-12,Calgary Flames,Edmonton Oilers,4,7,
2,2016-10-12,Toronto Maple Leafs,Ottawa Senators,4,5,OT
3,2016-10-12,Los Angeles Kings,San Jose Sharks,1,2,
4,2016-10-13,Montreal Canadiens,Buffalo Sabres,4,1,
5,2016-10-13,Boston Bruins,Columbus Blue Jackets,6,3,
6,2016-10-13,Anaheim Ducks,Dallas Stars,2,4,
7,2016-10-13,New Jersey Devils,Florida Panthers,1,2,OT
8,2016-10-13,New York Islanders,New York Rangers,3,5,
9,2016-10-13,Washington Capitals,Pittsburgh Penguins,2,3,SO
10,2016-10-13,Minnesota Wild,St. Louis Blues,2,3,
11,2016-10-13,Detroit Red Wings,Tampa Bay Lightning,4,6,
12,2016-10-13,Carolina Hurricanes,Winnipeg Jets,4,5,OT
13,2016-10-14,Edmonton Oilers,Calgary Flames,5,3,
14,2016-10-14,Philadelphia Flyers,Los Angeles Kings,4,2,
15,2016-10-14,Chicago Blackhawks,Nashville Predators,2,3,
16,2016-10-15,Philadelphia Flyers,Arizona Coyotes,3,4,OT
17,2016-10-15,San Jose Sharks,Columbus Blue Jackets,3,2,
18,2016-10-15,Nashville Predators,Chicago Blackhawks,3,5,
19,2016-10-15,Dallas Stars,Colorado Avalanche,5,6,
20,2016-10-15,Detroit Red Wings,Florida Panthers,1,4,
21,2016-10-15,Winnipeg Jets,Minnesota Wild,3,4,
22,2016-10-15,Montreal Canadiens,Ottawa Senators,3,4,SO
23,2016-10-15,Anaheim Ducks,Pittsburgh Penguins,2,3,
24,2016-10-15,New York Rangers,St. Louis Blues,2,3,
25,2016-10-15,New Jersey Devils,Tampa Bay Lightning,2,3,
26,2016-10-15,Boston Bruins,Toronto Maple Leafs,1,4,
27,2016-10-15,Calgary Flames,Vancouver Canucks,1,2,SO
28,2016-10-15,New York Islanders,Washington Capitals,1,2,
29,2016-10-16,Buffalo Sabres,Edmonton Oilers,6,2,
30,2016-10-16,Anaheim Ducks,New York Islanders,2,3,OT
31,2016-10-16,Carolina Hurricanes,Vancouver Canucks,3,4,OT
32,2016-10-17,Ottawa Senators,Detroit Red Wings,1,5,
33,2016-10-17,San Jose Sharks,New York Rangers,4,7,
34,2016-10-17,Colorado Avalanche,Pittsburgh Penguins,4,3,OT
35,2016-10-17,Boston Bruins,Winnipeg Jets,4,1,
36,2016-10-18,Buffalo Sabres,Calgary Flames,3,4,OT
37,2016-10-18,Philadelphia Flyers,Chicago Blackhawks,4,7,
38,2016-10-18,Carolina Hurricanes,Edmonton Oilers,2,3,
39,2016-10-18,Los Angeles Kings,Minnesota Wild,3,6,
40,2016-10-18,Pittsburgh Penguins,Montreal Canadiens,0,4,
41,2016-10-18,Anaheim Ducks,New Jersey Devils,1,2,
42,2016-10-18,Dallas Stars,Nashville Predators,2,1,
43,2016-10-18,San Jose Sharks,New York Islanders,3,2,
44,2016-10-18,Arizona Coyotes,Ottawa Senators,4,7,
45,2016-10-18,Florida Panthers,Tampa Bay Lightning,3,4,SO
46,2016-10-18,St. Louis Blues,Vancouver Canucks,1,2,OT
47,2016-10-18,Colorado Avalanche,Washington Capitals,0,3,
48,2016-10-19,Detroit Red Wings,New York Rangers,2,1,
49,2016-10-19,Toronto Maple Leafs,Winnipeg Jets,4,5,OT
50,2016-10-20,New Jersey Devils,Boston Bruins,1,2,
51,2016-10-20,Carolina Hurricanes,Calgary Flames,4,2,
52,2016-10-20,Los Angeles Kings,Dallas Stars,4,3,OT
53,2016-10-20,St. Louis Blues,Edmonton Oilers,1,3,
54,2016-10-20,Washington Capitals,Florida Panthers,4,2,
55,2016-10-20,Toronto Maple Leafs,Minnesota Wild,2,3,
56,2016-10-20,Arizona Coyotes,Montreal Canadiens,2,5,
57,2016-10-20,Anaheim Ducks,Philadelphia Flyers,3,2,
58,2016-10-20,San Jose Sharks,Pittsburgh Penguins,2,3,
59,2016-10-20,Colorado Avalanche,Tampa Bay Lightning,4,0,
60,2016-10-20,Buffalo Sabres,Vancouver Canucks,1,2,
61,2016-10-21,Chicago Blackhawks,Columbus Blue Jackets,2,3,
62,2016-10-21,Nashville Predators,Detroit Red Wings,3,5,
63,2016-10-21,Arizona Coyotes,New York Islanders,2,3,
64,2016-10-22,Montreal Canadiens,Boston Bruins,4,2,
65,2016-10-22,St. Louis Blues,Calgary Flames,6,4,
66,2016-10-22,Toronto Maple Leafs,Chicago Blackhawks,4,5,SO
67,2016-10-22,Columbus Blue Jackets,Dallas Stars,3,0,
68,2016-10-22,San Jose Sharks,Detroit Red Wings,0,3,
69,2016-10-22,Colorado Avalanche,Florida Panthers,2,5,
70,2016-10-22,Vancouver Canucks,Los Angeles Kings,3,4,SO
71,2016-10-22,Minnesota Wild,New Jersey Devils,1,2,OT
72,2016-10-22,Pittsburgh Penguins,Nashville Predators,1,5,
73,2016-10-22,Tampa Bay Lightning,Ottawa Senators,4,1,
74,2016-10-22,Carolina Hurricanes,Philadelphia Flyers,3,6,
75,2016-10-22,New York Rangers,Washington Capitals,4,2,
76,2016-10-23,Vancouver Canucks,Anaheim Ducks,2,4,
77,2016-10-23,Minnesota Wild,New York Islanders,3,6,
78,2016-10-23,Arizona Coyotes,New York Rangers,2,3,
79,2016-10-23,Edmonton Oilers,Winnipeg Jets,3,0,
80,2016-10-24,Calgary Flames,Chicago Blackhawks,3,2,SO
81,2016-10-24,Philadelphia Flyers,Montreal Canadiens,1,3,
82,2016-10-25,Minnesota Wild,Boston Bruins,5,0,
83,2016-10-25,Winnipeg Jets,Dallas Stars,2,3,
84,2016-10-25,Carolina Hurricanes,Detroit Red Wings,2,4,
85,2016-10-25,Columbus Blue Jackets,Los Angeles Kings,2,3,OT
86,2016-10-25,Arizona Coyotes,New Jersey Devils,3,5,
87,2016-10-25,Buffalo Sabres,Philadelphia Flyers,3,4,SO
88,2016-10-25,Florida Panthers,Pittsburgh Penguins,2,3,
89,2016-10-25,Anaheim Ducks,San Jose Sharks,1,2,OT
90,2016-10-25,Calgary Flames,St. Louis Blues,4,1,
91,2016-10-25,Tampa Bay Lightning,Toronto Maple Leafs,7,3,
92,2016-10-25,Ottawa Senators,Vancouver Canucks,3,0,
93,2016-10-26,Nashville Predators,Anaheim Ducks,1,6,
94,2016-10-26,Washington Capitals,Edmonton Oilers,1,4,
95,2016-10-26,Montreal Canadiens,New York Islanders,3,2,
96,2016-10-26,Boston Bruins,New York Rangers,2,5,
97,2016-10-27,Minnesota Wild,Buffalo Sabres,4,0,
98,2016-10-27,Nashville Predators,Los Angeles Kings,2,3,OT
99,2016-10-27,Tampa Bay Lightning,Montreal Canadiens,1,3,
100,2016-10-27,Arizona Coyotes,Philadelphia Flyers,5,4,
101,2016-10-27,New York Islanders,Pittsburgh Penguins,2,4,
102,2016-10-27,Columbus Blue Jackets,San Jose Sharks,1,3,
103,2016-10-27,Detroit Red Wings,St. Louis Blues,2,1,SO
104,2016-10-27,Florida Panthers,Toronto Maple Leafs,2,3,
105,2016-10-27,Dallas Stars,Winnipeg Jets,1,4,
106,2016-10-28,Columbus Blue Jackets,Anaheim Ducks,4,0,
107,2016-10-28,New York Rangers,Carolina Hurricanes,2,3,
108,2016-10-28,Ottawa Senators,Calgary Flames,2,5,
109,2016-10-28,Winnipeg Jets,Colorado Avalanche,1,0,
110,2016-10-28,Chicago Blackhawks,New Jersey Devils,3,2,OT
111,2016-10-28,Edmonton Oilers,Vancouver Canucks,2,0,
112,2016-10-29,Colorado Avalanche,Arizona Coyotes,3,2,
113,2016-10-29,Florida Panthers,Buffalo Sabres,0,3,
114,2016-10-29,Boston Bruins,Detroit Red Wings,1,0,
115,2016-10-29,Dallas Stars,Minnesota Wild,0,4,
116,2016-10-29,Toronto Maple Leafs,Montreal Canadiens,1,2,
117,2016-10-29,Tampa Bay Lightning,New Jersey Devils,1,3,
118,2016-10-29,Pittsburgh Penguins,Philadelphia Flyers,5,4,
119,2016-10-29,Nashville Predators,San Jose Sharks,1,4,
120,2016-10-29,Los Angeles Kings,St. Louis Blues,0,1,
121,2016-10-29,Washington Capitals,Vancouver Canucks,5,2,
122,2016-10-30,Philadelphia Flyers,Carolina Hurricanes,4,3,
123,2016-10-30,Washington Capitals,Calgary Flames,3,1,
124,2016-10-30,Los Angeles Kings,Chicago Blackhawks,0,3,
125,2016-10-30,Florida Panthers,Detroit Red Wings,5,2,
126,2016-10-30,Ottawa Senators,Edmonton Oilers,2,0,
127,2016-10-30,Toronto Maple Leafs,New York Islanders,1,5,
128,2016-10-30,Tampa Bay Lightning,New York Rangers,1,6,
129,2016-10-30,Buffalo Sabres,Winnipeg Jets,3,1,
130,2016-11-01,San Jose Sharks,Arizona Coyotes,2,3,
131,2016-11-01,Dallas Stars,Columbus Blue Jackets,2,3,OT
132,2016-11-01,Calgary Flames,Chicago Blackhawks,1,5,
133,2016-11-01,Nashville Predators,Colorado Avalanche,5,1,
134,2016-11-01,Boston Bruins,Florida Panthers,2,1,
135,2016-11-01,Anaheim Ducks,Los Angeles Kings,4,0,
136,2016-11-01,Buffalo Sabres,Minnesota Wild,2,1,
137,2016-11-01,Tampa Bay Lightning,New York Islanders,6,1,
138,2016-11-01,St. Louis Blues,New York Rangers,0,5,
139,2016-11-01,Carolina Hurricanes,Ottawa Senators,1,2,OT
140,2016-11-01,Edmonton Oilers,Toronto Maple Leafs,2,3,OT
141,2016-11-01,Washington Capitals,Winnipeg Jets,3,2,
142,2016-11-02,Pittsburgh Penguins,Anaheim Ducks,5,1,
143,2016-11-02,Vancouver Canucks,Montreal Canadiens,0,3,
144,2016-11-02,Detroit Red Wings,Philadelphia Flyers,3,4,OT
145,2016-11-03,Nashville Predators,Arizona Coyotes,2,3,SO
146,2016-11-03,Toronto Maple Leafs,Buffalo Sabres,2,1,
147,2016-11-03,Colorado Avalanche,Chicago Blackhawks,0,4,
148,2016-11-03,St. Louis Blues,Dallas Stars,2,6,
149,2016-11-03,New Jersey Devils,Florida Panthers,3,4,OT
150,2016-11-03,Pittsburgh Penguins,Los Angeles Kings,2,3,OT
