date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
2017-10-04,Calgary Flames,Edmonton Oilers,0,3,
2017-10-04,St. Louis Blues,Pittsburgh Penguins,5,4,OT
2017-10-04,Philadelphia Flyers,San Jose Sharks,5,3,
2017-10-04,Toronto Maple Leafs,Winnipeg Jets,7,2,
2017-10-05,Arizona Coyotes,Anaheim Ducks,4,5,
2017-10-05,Nashville Predators,Boston Bruins,3,4,
2017-10-05,Montreal Canadiens,Buffalo Sabres,3,2,SO
2017-10-05,Pittsburgh Penguins,Chicago Blackhawks,1,10,
2017-10-05,Minnesota Wild,Detroit Red Wings,2,4,
2017-10-05,Philadelphia Flyers,Los Angeles Kings,0,2,
2017-10-05,Colorado Avalanche,New York Rangers,4,2,
2017-10-05,Washington Capitals,Ottawa Senators,5,4,SO
2017-10-06,New York Islanders,Columbus Blue Jackets,0,5,
2017-10-06,Vegas Golden Knights,Dallas Stars,2,1,
2017-10-06,Florida Panthers,Tampa Bay Lightning,3,5,
2017-10-07,Philadelphia Flyers,Anaheim Ducks,3,2,OT
2017-10-07,Vegas Golden Knights,Arizona Coyotes,2,1,OT
2017-10-07,Minnesota Wild,Carolina Hurricanes,4,5,SO
2017-10-07,Winnipeg Jets,Calgary Flames,3,6,
2017-10-07,Columbus Blue Jackets,Chicago Blackhawks,1,5,
2017-10-07,Tampa Bay Lightning,Florida Panthers,4,5,
2017-10-07,Colorado Avalanche,New Jersey Devils,1,4,
2017-10-07,Buffalo Sabres,New York Islanders,3,6,
2017-10-07,Detroit Red Wings,Ottawa Senators,2,1,SO
2017-10-07,Nashville Predators,Pittsburgh Penguins,0,4,
2017-10-07,Los Angeles Kings,San Jose Sharks,4,1,
2017-10-07,Dallas Stars,St. Louis Blues,2,4,
2017-10-07,New York Rangers,Toronto Maple Leafs,5,8,
2017-10-07,Edmonton Oilers,Vancouver Canucks,2,3,
2017-10-07,Montreal Canadiens,Washington Capitals,1,6,
2017-10-08,Montreal Canadiens,New York Rangers,0,2,
2017-10-09,Calgary Flames,Anaheim Ducks,2,0,
2017-10-09,Colorado Avalanche,Boston Bruins,4,0,
2017-10-09,New Jersey Devils,Buffalo Sabres,6,2,
2017-10-09,Winnipeg Jets,Edmonton Oilers,5,2,
2017-10-09,St. Louis Blues,New York Islanders,3,2,SO
2017-10-09,Washington Capitals,Tampa Bay Lightning,3,4,OT
2017-10-09,Chicago Blackhawks,Toronto Maple Leafs,3,4,OT
2017-10-10,Columbus Blue Jackets,Carolina Hurricanes,2,1,OT
2017-10-10,Detroit Red Wings,Dallas Stars,2,4,
2017-10-10,Chicago Blackhawks,Montreal Canadiens,3,1,
2017-10-10,Philadelphia Flyers,Nashville Predators,5,6,
2017-10-10,St. Louis Blues,New York Rangers,3,1,
