team_name,year,points
Nashville Predators,2018,117
Winnipeg Jets,2018,114
Tampa Bay Lightning,2018,113
Boston Bruins,2018,112
Vegas Golden Knights,2018,109
Toronto Maple Leafs,2018,105
Washington Capitals,2018,105
Minnesota Wild,2018,101
Anaheim Ducks,2018,101
Pittsburgh Penguins,2018,100
San Jose Sharks,2018,100
Los Angeles Kings,2018,98
Philadelphia Flyers,2018,98
Columbus Blue Jackets,2018,97
New Jersey Devils,2018,97
Florida Panthers,2018,96
Colorado Avalanche,2018,95
St. Louis Blues,2018,94
Dallas Stars,2018,92
Calgary Flames,2018,84
Carolina Hurricanes,2018,83
New York Islanders,2018,80
Edmonton Oilers,2018,78
New York Rangers,2018,77
Chicago Blackhawks,2018,76
Vancouver Canucks,2018,73
Detroit Red Wings,2018,73
Montreal Canadiens,2018,71
Arizona Coyotes,2018,70
Ottawa Senators,2018,67
Buffalo Sabres,2018,62
